0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
106/07/10,"24,460,915","340,887,552",13.95,14.00,13.90,13.90,-0.05,"2,497",,,,,,,,,,,,,,,,,,,,,,,,
106/07/11,"24,470,202","342,320,771",13.90,14.05,13.90,14.05,+0.15,"3,629",,,,,,,,,,,,,,,,,,,,,,,,
106/07/12,"12,259,325","171,694,664",14.05,14.05,13.95,14.00,-0.05,"2,474",,,,,,,,,,,,,,,,,,,,,,,,
106/07/13,"26,386,073","372,973,758",14.00,14.25,14.00,14.20,+0.20,"4,038",,,,,,,,,,,,,,,,,,,,,,,,
106/07/14,"7,675,514","108,753,277",14.20,14.20,14.15,14.15,-0.05,"2,147",,,,,,,,,,,,,,,,,,,,,,,,
106/07/17,"26,841,868","383,714,839",14.25,14.35,14.20,14.35,+0.20,"4,092",,,,,,,,,,,,,,,,,,,,,,,,
106/07/18,"16,225,779","231,848,901",14.35,14.35,14.25,14.25,-0.10,"2,646",,,,,,,,,,,,,,,,,,,,,,,,
106/07/19,"17,336,080","247,422,680",14.25,14.35,14.20,14.25, 0.00,"2,540",,,,,,,,,,,,,,,,,,,,,,,,
106/07/20,"19,629,706","278,593,087",14.25,14.30,14.10,14.10,-0.15,"2,283",,,,,,,,,,,,,,,,,,,,,,,,
106/07/21,"13,933,300","195,821,950",14.10,14.15,14.00,14.05,-0.05,"2,159",,,,,,,,,,,,,,,,,,,,,,,,
106/07/24,"17,288,537","243,623,623",14.05,14.15,14.00,14.15,+0.10,"2,621",,,,,,,,,,,,,,,,,,,,,,,,
106/07/25,"13,076,940","185,682,779",14.15,14.25,14.10,14.20,+0.05,"1,758",,,,,,,,,,,,,,,,,,,,,,,,
106/07/26,"10,396,262","147,448,655",14.20,14.25,14.15,14.15,-0.05,"1,550",,,,,,,,,,,,,,,,,,,,,,,,
106/07/27,"8,327,646","118,384,383",14.20,14.25,14.15,14.25,+0.10,"2,025",,,,,,,,,,,,,,,,,,,,,,,,
106/07/28,"6,078,551","86,181,290",14.25,14.25,14.15,14.15,-0.10,"1,447",,,,,,,,,,,,,,,,,,,,,,,,
106/07/31,"13,111,716","185,761,328",14.15,14.20,14.10,14.20,+0.05,"1,852",,,,,,,,,,,,,,,,,,,,,,,,
106/08/01,"13,563,649","192,888,610",14.20,14.25,14.15,14.20, 0.00,"3,102",,,,,,,,,,,,,,,,,,,,,,,,
106/08/02,"20,117,313","287,731,259",14.20,14.35,14.20,14.35,+0.15,"2,698",,,,,,,,,,,,,,,,,,,,,,,,
106/08/03,"13,977,588","199,845,600",14.30,14.35,14.25,14.30,-0.05,"2,025",,,,,,,,,,,,,,,,,,,,,,,,
106/08/04,"16,259,386","232,952,532",14.30,14.40,14.30,14.40,+0.10,"3,233",,,,,,,,,,,,,,,,,,,,,,,,
106/08/07,"19,763,216","284,735,802",14.40,14.45,14.35,14.40, 0.00,"3,322",,,,,,,,,,,,,,,,,,,,,,,,
106/08/08,"15,621,591","225,032,908",14.40,14.45,14.35,14.40, 0.00,"2,750",,,,,,,,,,,,,,,,,,,,,,,,
106/08/09,"25,628,920","368,322,051",14.40,14.45,14.30,14.35,-0.05,"3,630",,,,,,,,,,,,,,,,,,,,,,,,
106/08/10,"35,946,825","508,900,259",14.35,14.35,14.00,14.05,-0.30,"4,472",,,,,,,,,,,,,,,,,,,,,,,,
106/08/11,"24,058,148","338,042,165",13.95,14.15,13.95,14.15,+0.10,"3,258",,,,,,,,,,,,,,,,,,,,,,,,
106/08/14,"42,824,374","606,627,789",14.20,14.20,14.00,14.00,-0.15,"4,587",,,,,,,,,,,,,,,,,,,,,,,,
106/08/15,"75,036,074","1,046,174,035",14.00,14.05,13.85,13.90,-0.10,"7,568",,,,,,,,,,,,,,,,,,,,,,,,
106/08/16,"77,225,902","995,967,126",12.85,13.00,12.85,12.95,X0.00,"8,054",,,,,,,,,,,,,,,,,,,,,,,,
106/08/17,"23,518,399","306,040,448",12.95,13.10,12.95,13.05,+0.10,"3,397",,,,,,,,,,,,,,,,,,,,,,,,
106/08/18,"15,357,213","199,085,469",13.00,13.00,12.95,12.95,-0.10,"3,039",,,,,,,,,,,,,,,,,,,,,,,,
106/08/21,"8,781,222","113,937,039",12.95,13.00,12.95,12.95, 0.00,"1,815",,,,,,,,,,,,,,,,,,,,,,,,
106/08/22,"9,842,656","127,628,228",13.00,13.00,12.95,13.00,+0.05,"1,899",,,,,,,,,,,,,,,,,,,,,,,,
106/08/23,"17,869,703","233,468,210",13.00,13.15,13.00,13.05,+0.05,"2,751",,,,,,,,,,,,,,,,,,,,,,,,
106/08/24,"30,094,493","399,263,431",13.10,13.40,13.05,13.40,+0.35,"4,026",,,,,,,,,,,,,,,,,,,,,,,,
106/08/25,"10,234,920","136,570,916",13.40,13.40,13.30,13.35,-0.05,"1,432",,,,,,,,,,,,,,,,,,,,,,,,
106/08/28,"11,695,793","155,981,014",13.30,13.40,13.25,13.40,+0.05,"2,146",,,,,,,,,,,,,,,,,,,,,,,,
106/08/29,"11,415,625","151,681,173",13.40,13.40,13.25,13.30,-0.10,"2,469",,,,,,,,,,,,,,,,,,,,,,,,
